"Stratum","Excluded","Arm","Se_mean","Se_lo","Se_hi","Sp_mean","Sp_lo","Sp_hi","Full_Se","Full_Sp"
"Early / subclinical keratoconus vs normal","S25","Placido topography",0.516683945450612,0.0672137807508174,0.945651234075297,0.956010833493688,0.742890931890698,0.999024350600731,NA,NA
"Early / subclinical keratoconus vs normal","S25","Biomechanics (Corvis ST)",0.96782696619031,0.823612608875397,0.999273383039133,0.931016448139748,0.712394737861548,0.995450513658106,NA,NA
"Early / subclinical keratoconus vs normal","S25","OCT",0.949903526371039,0.677073100447664,0.999540521432076,0.964835186608601,0.775712584894135,0.999563285852991,NA,NA
"Early / subclinical keratoconus vs normal","S21a","Scheimpflug tomography",0.966363127826546,0.920044362223127,0.990649646215208,0.960704500903184,0.908478438415828,0.988191415475915,NA,NA
"Early / subclinical keratoconus vs normal","S21a","Placido topography",0.629539644791059,0.178882858537378,0.943839993858147,0.907769959880668,0.620879972732415,0.994332937480393,NA,NA
"Early / subclinical keratoconus vs normal","S21a","Biomechanics (Corvis ST)",0.966207540357337,0.818103532279338,0.999216758875729,0.928071911107924,0.667449234798173,0.995996848482035,NA,NA
"Early / subclinical keratoconus vs normal","S21a","OCT",0.943776853067343,0.636295337668049,0.999516587340122,0.959676534127526,0.716716132226308,0.999673666049333,NA,NA
"Early / subclinical keratoconus vs normal","S21d","Scheimpflug tomography",0.96643287692252,0.923503398103346,0.98882941383562,0.956379436126755,0.902011345074737,0.98545113605966,NA,NA
"Early / subclinical keratoconus vs normal","S21d","Placido topography",0.683065669713439,0.127338658165744,0.98198723820493,0.705661286055037,0.13919988670474,0.986125935824581,NA,NA
"Early / subclinical keratoconus vs normal","S21d","Biomechanics (Corvis ST)",0.963970306250582,0.813702095866232,0.998917749673553,0.926831309414395,0.685064874575862,0.995536216285321,NA,NA
"Early / subclinical keratoconus vs normal","S21d","OCT",0.946004354646693,0.660691953305317,0.9993035268622,0.961461594394143,0.757911802857621,0.999345800101202,NA,NA
"Early / subclinical keratoconus vs normal","S20a","Scheimpflug tomography",0.948925926116124,0.908951290334164,0.978406614624549,0.937593799133052,0.879177785911978,0.973827889225381,NA,NA
"Early / subclinical keratoconus vs normal","S20a","Placido topography",0.66167294464043,0.32669150589744,0.901953371031434,0.928350463783164,0.743585819969009,0.991101874267633,NA,NA
"Early / subclinical keratoconus vs normal","S20a","Biomechanics (Corvis ST)",0.978158069222583,0.910335298986838,0.999438648621297,0.946576546903331,0.804601775758308,0.993942815630596,NA,NA
"Early / subclinical keratoconus vs normal","S20a","OCT",0.970267240545516,0.821790377340315,0.998853073321387,0.978992480328525,0.876467846553848,0.999487644697381,NA,NA
"Early / subclinical keratoconus vs normal","S57","Scheimpflug tomography",0.971693693868983,0.928684310222142,0.99246221388442,0.958901523728789,0.905125035387934,0.987047091270395,NA,NA
"Early / subclinical keratoconus vs normal","S57","Placido topography",0.630117326347261,0.176644066366733,0.946033086531547,0.911018333900477,0.648607080010773,0.993692696876523,NA,NA
