"Node","Sensitivity","Specificity","Excluded","Ref_Se","Ref_Sp","Delta_Se","Delta_Sp"
"Reader only",0.906698761534462,0.928268951003247,"ST077",0.907346411349033,0.927515708818799,-0.000647649814570883,0.000753242184447611
"AI only",0.918151096056034,0.941598319331991,"ST077",0.917522396083622,0.942286780426546,0.000628699972411995,-0.000688461094555115
"Reader only",0.907326353234814,0.927675258576345,"ST078",0.907346411349033,0.927515708818799,-2.00581142187906e-05,0.000159549757546396
"AI only",0.919570399415499,0.94176555827741,"ST078",0.917522396083622,0.942286780426546,0.00204800333187694,-0.00052122214913608
"Reader only",0.905705381956853,0.925773654208858,"ST079",0.907346411349033,0.927515708818799,-0.00164102939217969,-0.00174205460994148
"AI only",0.918374225115057,0.941902995176228,"ST079",0.917522396083622,0.942286780426546,0.000851829031434326,-0.000383785250317903
"Reader only",0.906082691183569,0.928890493297229,"ST080",0.907346411349033,0.927515708818799,-0.00126372016546394,0.00137478447843009
"AI only",0.918278834516391,0.942043174066751,"ST080",0.917522396083622,0.942286780426546,0.000756438432768958,-0.000243606359795034
"Reader only",0.907185372959175,0.928769276949679,"ST081",0.907346411349033,0.927515708818799,-0.000161038389857704,0.00125356813087996
"AI only",0.918999339364703,0.941447980819707,"ST081",0.917522396083622,0.942286780426546,0.00147694328108094,-0.000838799606838636
"Reader only",0.906112575723418,0.92690085612621,"ST082",0.907346411349033,0.927515708818799,-0.00123383562561519,-0.000614852692588874
"AI only",0.918180296495703,0.941175979018517,"ST082",0.917522396083622,0.942286780426546,0.000657900412080137,-0.00111080140802833
"Reader only",0.905844856955692,0.927751301164275,"ST083",0.907346411349033,0.927515708818799,-0.00150155439334054,0.00023559234547621
"AI only",0.918721421999729,0.941035376666873,"ST083",0.917522396083622,0.942286780426546,0.00119902591610688,-0.00125140375967248
"Reader only",0.907096906990887,0.928427111729583,"ST084",0.907346411349033,0.927515708818799,-0.00024950435814608,0.000911402910783621
"AI only",0.919749414711768,0.942729138259936,"ST084",0.917522396083622,0.942286780426546,0.00222701862814556,0.000442357833390306
"Reader only",0.908065560705357,0.929361965485315,"ST085",0.907346411349033,0.927515708818799,0.000719149356324555,0.00184625666651628
"AI only",0.919033379347384,0.941887536993894,"ST085",0.917522396083622,0.942286780426546,0.0015109832637612,-0.000399243432651408
"Reader only",0.910988791340314,0.916856929083195,"ST086",0.907346411349033,0.927515708818799,0.00364237999128159,-0.0106587797356038
"AI only",0.918408788088424,0.94190141435125,"ST086",0.917522396083622,0.942286780426546,0.000886392004801118,-0.00038536607529549
"Reader only",0.905676037029742,0.928083022052097,"ST087",0.907346411349033,0.927515708818799,-0.00167037431929051,0.000567313233297728
"AI only",0.918517211993899,0.942444511702146,"ST087",0.917522396083622,0.942286780426546,0.00099481591027617,0.000157731275600037
"Reader only",0.904999486028625,0.92760979265313,"ST088",0.907346411349033,0.927515708818799,-0.00234692532040748,9.40838343310713e-05
"AI only",0.918193863238107,0.941521716124062,"ST088",0.917522396083622,0.942286780426546,0.000671467154484962,-0.000765064302483687
