"Node","Sensitivity","Specificity","Excluded","Ref_Se","Ref_Sp","Delta_Se","Delta_Sp"
"AI only",0.916901516001354,0.941442425518507,"ST067",0.917948680308724,0.941733155814096,-0.00104716430737017,-0.000290730295589015
"Reader only",0.907049037498694,0.928382097500724,"ST068",0.90563948104325,0.927953981417988,0.00140955645544338,0.000428116082735297
"AI only",0.917989772351585,0.94163170878195,"ST068",0.917948680308724,0.941733155814096,4.10920428608463e-05,-0.000101447032145985
"Reader only",0.905563262755008,0.927685862520358,"ST069",0.90563948104325,0.927953981417988,-7.62182882425577e-05,-0.000268118897629788
"AI only",0.919302342652316,0.942303642521898,"ST069",0.917948680308724,0.941733155814096,0.00135366234359136,0.000570486707802687
"Reader only",0.906013866628037,0.927968481130938,"ST070",0.90563948104325,0.927953981417988,0.000374385584786863,1.44997129502e-05
"AI only",0.916170722218353,0.94162880352918,"ST070",0.917948680308724,0.941733155814096,-0.00177795809037162,-0.000104352284915787
"Reader only",0.906754291779253,0.928137119222104,"ST071",0.90563948104325,0.927953981417988,0.00111481073600306,0.000183137804115607
"AI only",0.915330989658752,0.941700090461382,"ST071",0.917948680308724,0.941733155814096,-0.00261769064997197,-3.30653527139679e-05
"Reader only",0.90700559732637,0.928267611719017,"ST072",0.90563948104325,0.927953981417988,0.00136611628311922,0.000313630301028711
"AI only",0.919252440821753,0.94310198283571,"ST072",0.917948680308724,0.941733155814096,0.00130376051302883,0.00136882702161467
"Reader only",0.906708380424927,0.92766970354681,"ST073",0.90563948104325,0.927953981417988,0.00106889938167709,-0.000284277871178129
"AI only",0.917553006975588,0.94138622919242,"ST073",0.917948680308724,0.941733155814096,-0.000395673333136726,-0.000346926621676014
"Reader only",0.906409862604736,0.927868651285987,"ST074",0.90563948104325,0.927953981417988,0.000770381561485678,-8.53301320010713e-05
"AI only",0.91888773070323,0.94211587348937,"ST074",0.917948680308724,0.941733155814096,0.000939050394505814,0.000382717675274757
"Reader only",0.906777076813329,0.928192809457975,"ST075",0.90563948104325,0.927953981417988,0.00113759577007833,0.000238828039986427
"AI only",0.917707045409215,0.941609126649244,"ST075",0.917948680308724,0.941733155814096,-0.000241634899509235,-0.00012402916485188
"Reader only",0.90618025079115,0.927785791065079,"ST076",0.90563948104325,0.927953981417988,0.000540769747899406,-0.00016819035290927
"AI only",0.918221026551594,0.94060602566985,"ST076",0.917948680308724,0.941733155814096,0.00027234624286987,-0.00112713014424526
"Reader only",0.905528605508722,0.928074634915721,"ST077",0.90563948104325,0.927953981417988,-0.000110875534527821,0.000120653497733159
"AI only",0.917728106128384,0.941590057877325,"ST077",0.917948680308724,0.941733155814096,-0.00022057418034005,-0.000143097936770809
"Reader only",0.905526551530847,0.927439679393338,"ST078",0.90563948104325,0.927953981417988,-0.000112929512403603,-0.000514302024650193
"AI only",0.919206909185872,0.941794615959765,"ST078",0.917948680308724,0.941733155814096,0.00125822887714799,6.14601456693231e-05
"Reader only",0.906263717329826,0.927199122356464,"ST079",0.90563948104325,0.927953981417988,0.000624236286575375,-0.000754859061524393
"AI only",0.918501381110877,0.942139368885703,"ST079",0.917948680308724,0.941733155814096,0.000552700802152195,0.00040621307160682
"Reader only",0.907069856369768,0.927672403244658,"ST080",0.90563948104325,0.927953981417988,0.00143037532651769,-0.000281578173330188
"AI only",0.918437693921093,0.94223632837562,"ST080",0.917948680308724,0.941733155814096,0.000489013612368305,0.000503172561524212
"Reader only",0.905835604890196,0.927652134939243,"ST081",0.90563948104325,0.927953981417988,0.000196123846945451,-0.000301846478745538
"AI only",0.918404503788865,0.941255951052714,"ST081",0.917948680308724,0.941733155814096,0.000455823480140727,-0.000477204761382022
"Reader only",0.906991683044504,0.928378909376425,"ST082",0.90563948104325,0.927953981417988,0.00135220200125319,0.000424927958437071
"AI only",0.91876672109537,0.941384968194222,"ST082",0.917948680308724,0.941733155814096,0.000818040786645158,-0.00034818761987343
"Reader only",0.905450347628142,0.927490961913325,"ST083",0.90563948104325,0.927953981417988,-0.000189133415108622,-0.000463019504663542
"AI only",0.919080692458167,0.941038809237702,"ST083",0.917948680308724,0.941733155814096,0.00113201214944225,-0.000694346576394111
"Reader only",0.906836584017174,0.927714215857422,"ST084",0.90563948104325,0.927953981417988,0.0011971029739235,-0.000239765560566041
"AI only",0.91906939408464,0.942596713904563,"ST084",0.917948680308724,0.941733155814096,0.00112071377591527,0.00086355809046712
"Reader only",0.906317574748884,0.928303097586334,"ST085",0.90563948104325,0.927953981417988,0.000678093705633986,0.000349116168345986
"AI only",0.918338840374178,0.94200020832877,"ST085",0.917948680308724,0.941733155814096,0.000390160065453338,0.00026705251467396
"Reader only",0.908884619460618,0.918357008122441,"ST086",0.90563948104325,0.927953981417988,0.00324513841736773,-0.00959697329554732
"AI only",0.918549566555889,0.941896709801656,"ST086",0.917948680308724,0.941733155814096,0.000600886247164922,0.000163553987559739
"Reader only",0.905548363013623,0.927336196601289,"ST087",0.90563948104325,0.927953981417988,-9.11180296278014e-05,-0.000617784816699718
"AI only",0.917718940900681,0.942685218804355,"ST087",0.917948680308724,0.941733155814096,-0.000229739408043383,0.000952062990258851
"Reader only",0.906338460147277,0.927534474953928,"ST088",0.90563948104325,0.927953981417988,0.000698979104026942,-0.00041950646405986
"AI only",0.91757575875805,0.94143228379454,"ST088",0.917948680308724,0.941733155814096,-0.000372921550674699,-0.000300872019555531
