"Stratum","Excluded","Arm","Se_mean","Se_lo","Se_hi","Sp_mean","Sp_lo","Sp_hi","Full_Se","Full_Sp"
"Dysplasia/OPMD vs non-dysplasia/normal","James_2021","AI / DL",0.972560855804539,0.883333444291001,0.997662377419,0.94585983846208,0.752366376002514,0.995702635505833,0.933498508493056,0.876232045715006
"Dysplasia/OPMD vs non-dysplasia/normal","James_2021","Clinician",0.874135926621849,0.642470099125879,0.980034597117888,0.844857649411693,0.496913446749236,0.97621699073856,0.866258040744243,0.836267857602347
"Dysplasia/OPMD vs non-dysplasia/normal","James_2021","Automated non-DL",0.897416467806321,0.640890623595834,0.988016562081598,0.83567991949767,0.496620392020693,0.98433659753754,0.927198692050177,0.844176442584765
"Dysplasia/OPMD vs non-dysplasia/normal","Sunny_2019","AI / DL",0.930830132257763,0.775837073569704,0.990148674004815,0.883248268353015,0.612300687200936,0.985729701263799,0.933498508493056,0.876232045715006
"Dysplasia/OPMD vs non-dysplasia/normal","Sunny_2019","Clinician",0.862055731732012,0.556009534763347,0.979309009256068,0.834708933847111,0.46965028459753,0.979348150527887,0.866258040744243,0.836267857602347
"Dysplasia/OPMD vs non-dysplasia/normal","Sunny_2019","Automated non-DL",0.92055958660147,0.696788726476568,0.992263891445367,0.88461962081453,0.588278698575888,0.990212017912876,0.927198692050177,0.844176442584765
"Dysplasia/OPMD vs non-dysplasia/normal","Heidari_2018","AI / DL",0.932243447949893,0.776438837865626,0.990069436866438,0.865538627873505,0.573646573582431,0.981100536039951,0.933498508493056,0.876232045715006
"Dysplasia/OPMD vs non-dysplasia/normal","Heidari_2018","Clinician",0.83146900194785,0.462105727881994,0.981182355792746,0.831329042554356,0.415084211164762,0.983401715328754,0.866258040744243,0.836267857602347
"Dysplasia/OPMD vs non-dysplasia/normal","Heidari_2018","Automated non-DL",0.92382014463876,0.713381360974963,0.991860483157232,0.776726024921415,0.358578785144878,0.971074139573977,0.927198692050177,0.844176442584765
"Dysplasia/OPMD vs non-dysplasia/normal","Hamdoon_2013","AI / DL",0.92942094998906,0.764215441395015,0.990073541600087,0.877833275054231,0.629456522394732,0.981669568088435,0.933498508493056,0.876232045715006
"Dysplasia/OPMD vs non-dysplasia/normal","Hamdoon_2013","Clinician",0.860034355336394,0.51287543510953,0.987528686847063,0.851634593261516,0.42998570688736,0.989382489643996,0.866258040744243,0.836267857602347
"Dysplasia/OPMD vs non-dysplasia/normal","Hamdoon_2013","Automated non-DL",0.92306802731581,0.734232565913239,0.988736092963826,0.847770807267521,0.545160715410869,0.979727301436295,0.927198692050177,0.844176442584765
"Dysplasia/OPMD vs non-dysplasia/normal","Tsai_2008","AI / DL",0.933177556195347,0.776495376546495,0.989841663070212,0.878274317895414,0.601391640416176,0.983793113018085,0.933498508493056,0.876232045715006
"Dysplasia/OPMD vs non-dysplasia/normal","Tsai_2008","Clinician",0.863831955343925,0.569918633278119,0.977589772046291,0.832893619570075,0.470427755401794,0.979570117464034,0.866258040744243,0.836267857602347
"Dysplasia/OPMD vs non-dysplasia/normal","Tsai_2008","Automated non-DL",0.919297819933519,0.682327402381913,0.991708820012357,0.855737910579688,0.506228044149289,0.988844237624472,0.927198692050177,0.844176442584765
